indic_na,unit,geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
B6N_U,PPCS_HAB,DEB1	13076.5 i	13321.3 i	13564.4 i	14136.4 i	14674.9 i	14994.5 i	15273.1 i	15638.9 i	16001.9 i	16602.9 i	17051.7 i	17498.9 i
B6N_U,PPCS_HAB,DEB2	12143.9 i	12391.2 i	12656.0 i	13243.0 i	13863.0 i	14307.7 i	14643.2 i	15121.7 i	15641.3 i	16290.6 i	16813.4 i	17257.8 i
B6N_U,PPCS_HAB,DEB3	13147.8 i	13370.3 i	13643.0 i	14253.2 i	14896.2 i	15317.1 i	15597.9 i	15957.5 i	16355.5 i	16847.3 i	17200.7 i	17591.7 i
B6N_U,PPCS_HAB,DEC0	12284.7 i	12590.7 i	12978.6 i	13877.1 i	14470.9 i	15156.3 i	15036.3 i	15543.0 i	16185.4 i	16841.9 i	17322.3 i	17764.0 i
B6N_U,PPCS_HAB,DED1	10805.6 i	11182.8 i	11477.9 i	12236.6 i	12742.7 i	13168.6 i	13430.9 i	13745.1 i	14061.4 i	14346.4 i	14775.9 i	15119.5 i
B6N_U,PPCS_HAB,DED2	10935.2 i	11263.9 i	11532.2 i	12227.9 i	12670.9 i	13061.9 i	13418.0 i	13809.5 i	14191.7 i	14428.4 i	14769.4 i	15052.0 i
B6N_U,PPCS_HAB,DED3	10967.2 i	11302.9 i	11532.0 i	12217.2 i	12594.6 i	12954.2 i	13256.5 i	13618.5 i	14015.1 i	14201.1 i	14517.7 i	14749.5 i
B6N_U,PPCS_HAB,DEE0	10566.7 i	10892.2 i	11154.1 i	11869.8 i	12284.0 i	12600.7 i	12788.9 i	13083.2 i	13382.8 i	13740.1 i	14060.6 i	14354.5 i
B6N_U,PPCS_HAB,DEF0	13508.7 i	13765.5 i	14007.1 i	14421.2 i	14724.3 i	15069.3 i	15329.6 i	15499.3 i	15809.0 i	16533.3 i	17018.0 i	17439.1 i
B6N_U,PPCS_HAB,DEG0	10416.6 i	10771.8 i	11180.2 i	11987.4 i	12453.8 i	12832.7 i	13005.9 i	13321.1 i	13585.1 i	13900.8 i	14293.6 i	14614.2 i
B6N_U,PPCS_HAB,DK01	: 	: 	: 	: 	11444.9 i	: 	: 	: 	: 	12549.4 i	13265.4 i	13517.6 i
B6N_U,PPCS_HAB,DK02	: 	: 	: 	: 	10655.3 i	: 	: 	: 	: 	11976.6 i	12655.0 i	12956.0 i
B6N_U,PPCS_HAB,DK03	: 	: 	: 	: 	10475.6 i	: 	: 	: 	: 	11723.3 i	12462.6 i	12857.9 i
B6N_U,PPCS_HAB,DK04	: 	: 	: 	: 	10427.5 i	: 	: 	: 	: 	11849.4 i	12573.8 i	12941.9 i
B6N_U,PPCS_HAB,DK05	: 	: 	: 	: 	10520.0 i	: 	: 	: 	: 	11707.4 i	12455.8 i	12920.3 i
B6N_U,PPCS_HAB,EE00	3039.8 	3517.4 	3643.6 	3595.6 	4052.8 	4297.5 	4817.7 	5091.1 	5447.0 	6101.3 	6938.2 	7857.2 
B6N_U,PPCS_HAB,ES11	7635.4 	8069.7 	8507.1 	8895.8 	9781.5 	10295.9 	10984.6 	11185.7 	11495.4 	12307.9 	13085.5 	13750.4 
B6N_U,PPCS_HAB,ES12	8180.4 	8685.1 	9251.5 	9482.4 	10747.0 	11422.1 	12245.5 	12378.0 	12787.3 	13831.3 	14910.6 	15835.5 
B6N_U,PPCS_HAB,ES13	8655.3 	9049.3 	9730.7 	10272.0 	11339.9 	12017.5 	12915.3 	12996.5 	13345.3 	14351.3 	15092.7 	15593.3 
B6N_U,PPCS_HAB,ES21	10479.8 	11163.5 	11999.6 	12671.9 	14106.3 	14946.6 	15846.1 	16080.9 	16563.6 	17648.6 	18810.7 	19640.5 
B6N_U,PPCS_HAB,ES22	10713.3 	11265.9 	11761.4 	12171.2 	14414.4 	15180.3 	16037.4 	16043.0 	16548.2 	17493.7 	18303.3 	19408.6 
B6N_U,PPCS_HAB,ES23	9814.8 	10467.1 	11028.7 	11460.3 	13111.6 	13588.4 	14157.7 	14157.4 	14355.5 	14798.4 	15508.7 	15594.1 
B6N_U,PPCS_HAB,ES24	9596.6 	10112.1 	10467.7 	10860.5 	12339.4 	12949.6 	13946.4 	13951.4 	14160.9 	14983.1 	15809.2 	16271.3 
B6N_U,PPCS_HAB,ES30	10215.4 	10849.1 	11634.7 	12213.8 	14254.8 	14835.4 	15442.8 	15313.6 	15741.8 	16541.8 	17314.6 	17637.5 
B6N_U,PPCS_HAB,ES41	8636.8 	9155.3 	9566.9 	9966.7 	10997.4 	11814.1 	12432.9 	12560.6 	12892.8 	13751.2 	14744.0 	15266.3 
B6N_U,PPCS_HAB,ES42	7541.9 	7944.2 	8452.5 	8728.2 	9544.0 	10106.0 	10745.9 	10755.7 	10850.7 	11351.9 	11767.7 	12198.1 
B6N_U,PPCS_HAB,ES43	6342.8 	6703.4 	7167.8 	7594.8 	8315.0 	8874.8 	9429.0 	9532.8 	9772.9 	10561.0 	11196.4 	11722.6 
B6N_U,PPCS_HAB,ES51	10182.7 	10585.6 	11058.7 	11669.8 	13268.0 	13760.5 	14468.4 	14561.4 	14859.3 	15694.0 	16206.4 	16650.5 
B6N_U,PPCS_HAB,ES52	8355.0 	8948.8 	9433.1 	9864.6 	11190.1 	11580.0 	12073.7 	12016.0 	12082.0 	12571.4 	13014.2 	13338.7 
