geo\time	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
FR82	15.514 	22.352 	30.877 	36.227 	42.545 	37.517 	38.78 	38.797 	37.778 	41.239 	39.635 	29.718 p
FR83	: 	: 	: 	: 	: 	: 	: 	3.584 	: 	: 	: 	: 
FR91	: 	: 	: 	2.373 	: 	0.77 	: 	2.299 	: 	: 	0.383 	: 
FR92	: 	: 	: 	: 	: 	: 	: 	: 	1.27 	: 	: 	: 
FR94	: 	: 	: 	: 	: 	0.549 	: 	2.664 	1.313 	2.588 	2.558 	3.614 p
GR11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.28 p
GR12	: 	: 	: 	: 	0.536 	: 	1.763 	0.878 	1.048 	0.978 	: 	0.908 p
GR14	: 	: 	: 	: 	: 	0.675 	: 	: 	0.271 	0.271 	: 	: 
GR21	: 	: 	1.49 	1.339 	: 	: 	: 	0.976 	: 	1.082 	: 	: 
GR23	: 	0.695 	0.694 	0.457 	1.385 	1.081 	1.035 	2.774 	0.685 	: 	0.626 	0.448 p
GR24	: 	: 	: 	: 	: 	: 	0.893 	0.089 	: 	: 	: 	: 
GR25	: 	: 	: 	: 	0.334 	0.552 	: 	1.663 	: 	: 	: 	: 
GR30	0.605 	0.768 	1 	2.133 	1.908 	2.441 	3.161 	3.874 	3.096 	3.003 	3.124 	0.811 p
GR42	: 	: 	: 	: 	3.38 	: 	: 	: 	1.653 	: 	: 	: 
GR43	0.438 	1.735 	0.859 	1.704 	2.827 	2.525 	1.961 	2.221 	: 	3.044 	1.659 	: 
HU10	0.829 	1.56 	2.96 	7.913 	8.943 	7.439 	4.139 	7.399 	7.969 	5.593 	12.088 	4.943 p
HU21	: 	: 	0.223 	: 	1.072 	0.294 	0.294 	0.332 	1.572 	0.279 	1.354 	: 
HU22	: 	: 	: 	: 	0.338 	: 	: 	0.249 	: 	0.33 	0.9 	: 
HU23	: 	: 	0.169 	0.499 	0.39 	0.281 	1.007 	1.132 	: 	2.251 	2.39 	1.116 p
HU31	0.129 	: 	: 	0.099 	1.533 	0.768 	0.1 	: 	: 	: 	0.42 	0.799 p
HU32	: 	0.638 	0.956 	2.545 	1.49 	2.219 	1.68 	1.274 	0.537 	0.649 	1.304 	1.147 p
HU33	1.491 	1.198 	0.539 	0.18 	1.431 	1.579 	0.728 	0.424 	2.698 	1.904 	1.113 	0.931 p
IE01	: 	0.722 	6.743 	8.185 	11.756 	8.719 	7.043 	6.213 	7.031 	12.721 	15.393 	9.161 p
IE02	: 	10.408 	14.663 	19.435 	15.537 	23.915 	19.336 	14.507 	16.023 	13.417 	15.464 	7.611 p
ITC1	8.651 	7.731 	9.3 	8.532 	9.257 	11.558 	16.904 	22.317 	22.507 	21.068 	19.303 	5.762 p
ITC2	: 	1.701 	: 	16.861 	36.429 	25.158 	43.247 	8.271 	8.194 	48.833 	40.33 	: 
ITC3	4.156 	4.256 	4.116 	5.307 	4.371 	10.892 	4.72 	7.442 	8.735 	9.37 	11.583 	11.4 p
ITC4	16.349 	16.523 	20.823 	18.533 	23.238 	18.128 	24.337 	18.873 	18.107 	16.68 	15.76 	8.716 p
