landuse,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 
L0008,ITE1	22651.0 	22654.0 	22658.0 	22657.0 	22657.0 	22657.0 	22657.0 	22657.0 	22657.0 	22657.0 	: 
L0008,ITE2	8252.0 	8252.0 	8252.0 	8252.0 	8252.0 	8252.0 	8252.0 	8252.0 	8252.0 	8252.0 	: 
L0008,ITE3	9555.0 	9554.0 	9554.0 	9554.0 	9554.0 	9554.0 	9554.0 	9554.0 	9554.0 	9554.0 	: 
L0008,ITE4	16869.0 	16869.0 	16897.0 	16897.0 	16897.0 	16897.0 	16897.0 	16897.0 	16897.0 	16897.0 	: 
L0008,ITF1	10670.0 	10667.0 	10635.0 	10635.0 	10635.0 	10635.0 	10635.0 	10635.0 	10635.0 	10635.0 	: 
L0008,ITF2	4373.0 	4373.0 	4373.0 	4373.0 	4373.0 	4373.0 	4373.0 	4373.0 	4373.0 	4373.0 	: 
L0008,ITF3	13395.0 	13392.0 	13392.0 	13392.0 	13392.0 	13392.0 	13392.0 	13392.0 	13392.0 	13392.0 	: 
L0008,ITF4	19205.0 	19199.0 	19191.0 	19191.0 	19191.0 	19191.0 	19191.0 	19191.0 	19191.0 	19191.0 	: 
L0008,ITF5	9718.0 	9719.0 	9719.0 	9719.0 	9719.0 	9719.0 	9719.0 	9719.0 	9719.0 	9719.0 	: 
L0008,ITF6	14752.0 	14753.0 	14753.0 	14753.0 	14753.0 	14753.0 	14753.0 	14753.0 	14753.0 	14753.0 	: 
L0008,ITG1	25400.0 	25400.0 	25408.0 	25409.0 	25409.0 	25409.0 	25409.0 	25409.0 	25409.0 	25409.0 	: 
L0008,ITG2	23892.0 	23892.0 	23892.0 	23892.0 	23892.0 	23892.0 	23892.0 	23892.0 	23892.0 	23892.0 	: 
L0008,LI00	160.0 	160.0 	160.0 	160.0 	160.0 	160.0 	160.0 	160.0 	160.0 	160.0 	: 
L0008,LT00	62678.0 	62678.0 	62678.0 	62678.0 	62678.0 	62678.0 	62678.0 	62678.0 	62675.0 	62675.0 	: 
L0008,LU00	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	2586.0 	: 
L0008,LV00	62290.0 	62290.0 	62290.0 	62290.0 	62290.0 	62290.0 	62290.0 	62290.0 	62196.0 	62196.0 	: 
L0008,MK00	24914.0 	24914.0 	24914.0 	24914.0 	24914.0 	24914.0 	24914.0 	24914.0 	24913.0 	24913.0 	: 
L0008,MT00	315.6 	315.6 	315.6 	315.6 	315.6 	315.6 	315.6 	315.6 	316.0 	316.0 	: 
L0008,NL11	2340.3 	2340.3 	2340.3 	2336.0 	2336.0 	2336.0 	2335.4 	2333.3 	2333.3 	2333.3 	: 
L0008,NL12	3357.5 	3357.5 	3357.5 	3349.3 	3349.3 	3349.0 	3349.9 	3341.7 	3341.7 	3341.7 	: 
L0008,NL13	2649.1 	2649.1 	2649.1 	2642.0 	2642.0 	2642.0 	2642.0 	2641.1 	2641.1 	2641.1 	: 
L0008,NL21	3336.5 	3336.5 	3336.5 	3326.7 	3326.7 	3327.0 	3326.7 	3325.6 	3325.6 	3325.6 	: 
L0008,NL22	4982.8 	4982.8 	4982.8 	4975.1 	4975.1 	4975.0 	4975.1 	4971.8 	4971.8 	4971.8 	: 
L0008,NL23	1421.1 	1421.1 	1421.1 	1419.3 	1419.3 	1419.0 	1419.3 	1417.5 	1417.5 	1417.5 	: 
L0008,NL31	1363.4 	1363.4 	1387.7 	1386.2 	1386.2 	1386.0 	1386.2 	1385.0 	1385.0 	1385.0 	: 
L0008,NL32	2657.1 	2657.1 	2672.4 	2670.4 	2670.4 	2670.0 	2670.4 	2671.0 	2671.0 	2671.0 	: 
L0008,NL33	2867.0 	2867.0 	2827.4 	2818.1 	2818.1 	2818.0 	2818.1 	2814.7 	2814.7 	2814.7 	: 
L0008,NL34	1805.5 	1805.5 	1805.5 	1788.1 	1788.1 	1788.0 	1788.1 	1787.1 	1787.1 	1787.1 	: 
L0008,NL41	4929.3 	4929.3 	4929.3 	4919.3 	4919.3 	4919.0 	4919.3 	4916.5 	4916.5 	4916.5 	: 
L0008,NL42	2163.7 	2163.6 	2163.6 	2153.1 	2153.1 	2153.0 	2153.0 	2150.9 	2150.9 	2150.9 	: 
L0008,NO01	5014.0 	5014.0 	5014.0 	5014.0 	5005.0 	5005.0 	5005.0 	5005.0 	5047.0 	: 	: 
L0008,NO02	49947.0 	49947.0 	49947.0 	49947.0 	49869.0 	49868.0 	49869.0 	49869.0 	50122.0 	: 	: 
L0008,NO03	34071.0 	34071.0 	34071.0 	34071.0 	33685.0 	33685.0 	33685.0 	33685.0 	33843.0 	: 	: 
L0008,NO04	23855.0 	23855.0 	24037.0 	24037.0 	23579.0 	23579.0 	23579.0 	23579.0 	23664.0 	: 	: 
L0008,NO05	47422.0 	47421.0 	47239.0 	47239.0 	46821.0 	46821.0 	46821.0 	46821.0 	46877.0 	: 	: 
L0008,NO06	38616.0 	38616.0 	38616.0 	38616.0 	38607.0 	38607.0 	38607.0 	38607.0 	38790.0 	: 	: 
