geo\time	1994_1996 	1997_1999 	1998_2000 	1999_2001 	2000_2002 	2001_2003 	2002_2004 	2003_2005 	2004_2006 	2005_2007 	2006_2008 	2007_2009 
NL23	715.0 	691.2 	688.2 	677.1 	668.1 	664.0 	643.8 	622.5 	601.9 	592.1 	572.7 	: 
NL31	717.3 	692.4 	691.8 	681.8 	666.6 	654.1 	638.3 	615.9 	594.1 	565.8 	550.8 	: 
NL32	725.3 	690.9 	688.6 	680.6 	673.0 	663.0 	645.8 	626.9 	602.2 	585.9 	571.1 	: 
NL33	703.8 	692.8 	690.0 	684.7 	675.8 	666.9 	651.5 	632.5 	610.6 	595.4 	578.7 	: 
NL34	648.8 	632.2 	632.6 	629.7 	630.3 	617.1 	601.5 	582.7 	570.2 	552.4 	539.4 	: 
NL41	745.7 	712.4 	709.2 	702.3 	693.2 	684.3 	667.4 	644.0 	619.9 	600.0 	584.0 	: 
NL42	756.6 	744.3 	737.0 	728.0 	719.1 	712.9 	694.5 	671.8 	644.1 	618.3 	601.0 	: 
NO01	717.4 	681.3 	672.6 	661.4 	648.6 	630.6 	611.2 	586.9 	569.7 	555.9 	548.2 	: 
NO02	730.5 	717.4 	700.8 	688.1 	684.5 	676.4 	655.4 	625.4 	608.6 	595.2 	586.8 	: 
NO03	718.7 	698.9 	690.4 	686.4 	672.1 	653.5 	631.9 	609.8 	595.8 	589.1 	580.7 	: 
NO04	686.4 	651.7 	645.6 	638.3 	629.8 	617.0 	599.5 	581.9 	566.8 	558.2 	547.4 	: 
NO05	635.6 	621.7 	609.2 	598.0 	587.2 	577.0 	559.1 	532.5 	514.8 	513.2 	513.1 	: 
NO06	690.5 	669.2 	657.4 	637.9 	631.4 	613.7 	600.8 	574.6 	564.0 	561.2 	550.5 	: 
NO07	744.6 	714.6 	696.5 	688.8 	673.3 	663.2 	633.7 	615.7 	594.7 	590.1 	584.3 	: 
PL11	: 	: 	: 	1047.2 	1008.8 	987.7 	966.5 	961.5 	953.0 	952.9 	937.1 	: 
PL12	: 	: 	: 	916.8 	879.3 	866.3 	851.5 	839.1 	819.1 	807.1 	793.7 	: 
